日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2026-06-08,600036,37.4,37.5,37.76,37.36,769478,2965291902.0,1.06,-0.21,-0.08,0.37
2026-06-09,600036,37.5,37.49,37.64,37.4,664500,2559005933.0,0.64,-0.03,-0.01,0.32
2026-06-10,600036,37.45,37.9,38.08,37.38,935861,3632762822.0,1.87,1.09,0.41,0.45
2026-06-11,600036,37.93,37.73,38.09,37.57,594454,2304178552.0,1.37,-0.45,-0.17,0.29
2026-06-12,600036,37.59,38.34,38.35,37.34,1119834,4373132356.0,2.68,1.62,0.61,0.54
2026-06-15,600036,38.21,37.95,38.37,37.73,977404,3811793413.0,1.67,-1.02,-0.39,0.47
2026-06-16,600036,37.81,37.57,37.89,37.41,789669,3048039103.0,1.26,-1.0,-0.38,0.38
2026-06-17,600036,37.68,37.23,37.85,37.14,660452,2530773389.0,1.89,-0.9,-0.34,0.32
2026-06-18,600036,37.15,36.26,37.2,36.26,1003461,3765522215.0,2.52,-2.61,-0.97,0.49
2026-06-22,600036,36.01,36.65,36.9,35.95,1100768,4112247287.0,2.62,1.08,0.39,0.53
2026-06-23,600036,36.65,36.4,37.19,36.35,1008007,3804117446.0,2.29,-0.68,-0.25,0.49
2026-06-24,600036,36.49,35.76,36.58,35.75,1236166,4570750868.0,2.28,-1.76,-0.64,0.6
2026-06-25,600036,35.73,35.23,35.99,35.2,1181162,4308980708.0,2.21,-1.48,-0.53,0.57
2026-06-26,600036,35.38,35.0,35.47,34.88,1055410,3804353019.0,1.67,-0.65,-0.23,0.51
2026-06-29,600036,34.9,35.42,35.72,34.4,1080735,3911537694.0,3.77,1.2,0.42,0.52
2026-06-30,600036,35.37,34.5,35.39,34.35,1099038,3919806245.0,2.94,-2.6,-0.92,0.53
2026-07-01,600036,34.52,34.91,35.12,34.28,891221,3183805654.0,2.43,1.19,0.41,0.43
2026-07-02,600036,35.28,35.6,35.8,35.13,944614,3442082753.0,1.92,1.98,0.69,0.46
2026-07-03,600036,35.67,35.83,36.06,35.35,853124,3133647736.0,1.99,0.65,0.23,0.41
2026-07-06,600036,35.7,36.73,36.76,35.52,971544,3625395505.0,3.46,2.51,0.9,0.47
2026-07-07,600036,36.72,36.55,36.86,36.3,652587,2448739027.0,1.52,-0.49,-0.18,0.32
2026-07-08,600036,36.36,36.94,36.97,36.15,767135,2899053623.0,2.24,1.07,0.39,0.37
2026-07-09,600036,36.7,36.55,36.81,36.37,765646,2875450172.0,1.19,-1.06,-0.39,0.37
2026-07-10,600036,36.61,36.88,36.92,36.33,793772,2911440764.0,1.61,0.9,0.33,0.38
2026-07-13,600036,36.81,37.25,37.4,36.71,933085,3469591941.0,1.87,1.0,0.37,0.45
2026-07-14,600036,37.1,37.18,37.24,36.82,804154,2979122982.0,1.13,-0.19,-0.07,0.39
2026-07-15,600036,37.0,37.76,37.96,36.75,1154626,4337619113.0,3.25,1.56,0.58,0.56
2026-07-16,600036,37.7,37.67,38.12,37.5,766899,2894610320.0,1.64,-0.24,-0.09,0.37
2026-07-17,600036,37.76,38.02,38.2,37.68,1158584,4404072223.0,1.38,0.93,0.35,0.56
2026-07-20,600036,37.95,38.91,38.91,37.89,1433610,5534176002.0,2.68,2.34,0.89,0.69
2026-07-21,600036,39.18,37.99,39.4,37.9,1560127,6018519241.0,3.86,-2.36,-0.92,0.76
2026-07-22,600036,37.85,38.71,38.71,37.63,1084546,4146124500.0,2.84,1.9,0.72,0.53
2026-07-23,600036,38.68,38.91,38.99,38.45,794938,3087846398.0,1.39,0.52,0.2,0.39
2026-07-24,600036,39.18,39.2,39.25,38.9,982960,3846185674.0,0.9,0.75,0.29,0.48
2026-07-27,600036,39.12,39.0,39.24,38.69,715846,2791660618.0,1.4,-0.51,-0.2,0.35
2026-07-28,600036,39.17,39.59,39.59,38.95,1050187,4136021701.0,1.64,1.51,0.59,0.51
2026-07-29,600036,39.98,39.66,40.07,39.49,1148712,4563588941.0,1.47,0.18,0.07,0.56
2026-07-30,600036,39.66,40.55,40.55,39.55,1374580,5517774480.0,2.52,2.24,0.89,0.67
2026-07-31,600036,39.85,39.62,40.17,39.04,1491550,5898211993.0,2.79,-2.29,-0.93,0.72
2026-08-03,600036,39.88,40.36,40.42,39.8,1217493,4892987910.0,1.56,1.87,0.74,0.59
2026-08-04,600036,40.16,39.28,40.16,39.21,1104999,4364079643.0,2.35,-2.68,-1.08,0.54
2026-08-05,600036,39.18,38.94,39.48,38.72,960454,3741155972.0,1.93,-0.87,-0.34,0.47
2026-08-06,600036,39.0,38.97,39.15,38.47,853755,3312252529.0,1.75,0.08,0.03,0.41
2026-08-07,600036,38.9,38.8,39.1,38.48,779647,3022675781.0,1.59,-0.44,-0.17,0.38
2026-08-10,600036,38.79,38.91,39.27,38.7,651758,2544401483.0,1.47,0.28,0.11,0.32
2026-08-11,600036,39.0,38.95,39.2,38.77,500770,1949602571.0,1.11,0.1,0.04,0.24
2026-08-12,600036,38.95,38.7,38.97,38.56,557489,2158507035.0,1.05,-0.64,-0.25,0.27
2026-08-13,600036,38.59,38.77,38.81,38.5,501985,1940835858.0,0.8,0.18,0.07,0.24
2026-08-14,600036,38.65,38.46,38.75,38.46,486802,1877959603.0,0.75,-0.8,-0.31,0.24
2026-08-17,600036,38.35,38.2,38.46,38.06,656744,2510463628.0,1.04,-0.68,-0.26,0.32
2026-08-18,600036,38.15,38.29,38.36,38.03,601361,2297763209.0,0.86,0.24,0.09,0.29
2026-08-19,600036,38.55,39.15,39.15,38.4,1248939,4850665980.0,1.96,2.25,0.86,0.61
2026-08-20,600036,38.8,38.86,39.07,38.47,747857,2899498644.0,1.53,-0.74,-0.29,0.36
2026-08-21,600036,38.8,38.9,39.1,38.76,514219,2002588255.0,0.87,0.1,0.04,0.25
2026-08-24,600036,38.87,39.58,39.7,38.77,1045783,4125329806.0,2.39,1.75,0.68,0.51
2026-08-25,600036,39.7,39.5,39.92,39.42,634183,2512181928.0,1.26,-0.2,-0.08,0.31
2026-08-26,600036,39.41,39.8,39.98,39.38,646455,2574006915.0,1.52,0.76,0.3,0.31
2026-08-27,600036,39.63,39.58,39.94,39.32,614592,2429800384.0,1.56,-0.55,-0.22,0.3
2026-08-28,600036,39.46,39.35,39.55,39.23,481033,1893074628.0,0.81,-0.58,-0.23,0.23
2026-08-31,600036,39.51,40.13,40.28,39.5,781673,3123410992.0,1.98,1.98,0.78,0.38
