日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-04-24,600519,1472.42,1472.67,1481.1,1469.4,14872,2313372072.0,0.79,0.02,0.25,0.12
2025-04-25,600519,1477.52,1470.42,1481.62,1470.42,14765,2295029705.0,0.76,-0.15,-2.25,0.12
2025-04-28,600519,1472.42,1470.42,1475.42,1467.02,14660,2274252465.0,0.57,0.0,0.0,0.12
2025-04-29,600519,1470.42,1464.42,1472.96,1452.44,18922,2917422938.0,1.4,-0.41,-6.0,0.15
2025-04-30,600519,1470.41,1467.42,1487.08,1466.72,25754,4005439429.0,1.39,0.2,3.0,0.21
2025-05-06,600519,1479.42,1470.62,1479.42,1464.75,18300,2838614215.0,1.0,0.22,3.2,0.15
2025-05-07,600519,1490.42,1475.42,1490.42,1470.62,27462,4275142569.0,1.35,0.33,4.8,0.22
2025-05-08,600519,1473.42,1498.61,1513.2,1470.25,33481,5265446444.0,2.91,1.57,23.19,0.27
2025-05-09,600519,1499.41,1511.6,1517.87,1495.47,23672,3757574546.0,1.49,0.87,12.99,0.19
2025-05-12,600519,1518.42,1524.92,1539.35,1517.03,24735,3967785800.0,1.48,0.88,13.32,0.2
2025-05-13,600519,1529.34,1510.72,1529.34,1505.53,21258,3386617848.0,1.56,-0.93,-14.2,0.17
2025-05-14,600519,1510.42,1555.41,1565.42,1508.6,39460,6394735058.0,3.76,2.96,44.69,0.31
2025-05-15,600519,1555.22,1552.43,1564.01,1544.55,24733,4043402636.0,1.25,-0.19,-2.98,0.2
2025-05-16,600519,1554.41,1534.55,1557.41,1534.55,22935,3714508659.0,1.47,-1.15,-17.88,0.18
2025-05-19,600519,1516.42,1499.4,1520.42,1494.3,38063,6021950010.0,1.7,-2.29,-35.15,0.3
2025-05-20,600519,1500.42,1506.42,1515.22,1495.52,19522,3095742637.0,1.31,0.47,7.02,0.16
2025-05-21,600519,1505.42,1501.39,1516.36,1501.39,19795,3143941416.0,0.99,-0.33,-5.03,0.16
2025-05-22,600519,1501.41,1500.42,1505.41,1490.52,15090,2381236586.0,0.99,-0.06,-0.97,0.12
2025-05-23,600519,1495.62,1493.02,1508.32,1492.08,21537,3399424961.0,1.08,-0.49,-7.4,0.17
2025-05-26,600519,1490.42,1470.92,1495.05,1465.42,27087,4212944430.0,1.98,-1.48,-22.1,0.22
2025-05-27,600519,1471.42,1464.32,1479.02,1463.93,17752,2748945675.0,1.03,-0.45,-6.6,0.14
2025-05-28,600519,1464.41,1457.42,1466.88,1453.42,16266,2504624605.0,0.92,-0.47,-6.9,0.13
2025-05-29,600519,1460.42,1460.42,1475.42,1452.42,21860,3375465796.0,1.58,0.21,3.0,0.17
2025-05-30,600519,1460.57,1442.42,1465.42,1435.66,31239,4764875947.0,2.04,-1.23,-18.0,0.25
2025-06-03,600519,1428.43,1429.42,1439.42,1425.44,28979,4377892799.0,0.97,-0.9,-13.0,0.23
2025-06-04,600519,1430.92,1430.38,1443.42,1429.64,23008,3480363797.0,0.96,0.07,0.96,0.18
2025-06-05,600519,1434.42,1434.42,1436.42,1422.62,23214,3504925524.0,0.96,0.28,4.04,0.18
2025-06-06,600519,1434.22,1426.81,1439.39,1423.42,25023,3777727616.0,1.11,-0.53,-7.61,0.2
2025-06-09,600519,1425.44,1406.53,1429.12,1406.1,44959,6723839138.0,1.61,-1.42,-20.28,0.36
2025-06-10,600519,1406.42,1395.43,1412.42,1395.22,30492,4511934584.0,1.22,-0.79,-11.1,0.24
2025-06-11,600519,1397.22,1400.42,1414.42,1396.52,30893,4585522755.0,1.28,0.36,4.99,0.25
2025-06-12,600519,1400.42,1379.42,1404.29,1374.52,49904,7306800800.0,2.13,-1.5,-21.0,0.4
2025-06-13,600519,1364.83,1347.37,1370.39,1345.48,59113,8466515559.0,1.81,-2.32,-32.05,0.47
2025-06-16,600519,1321.62,1342.71,1345.46,1321.6,42888,6060448438.0,1.77,-0.35,-4.66,0.34
2025-06-17,600519,1340.42,1347.42,1347.42,1332.6,27232,3868364671.0,1.1,0.35,4.71,0.22
2025-06-18,600519,1360.42,1345.42,1363.86,1341.43,30761,4404131364.0,1.66,-0.15,-2.0,0.24
2025-06-19,600519,1346.42,1346.42,1354.09,1337.6,24501,3490268568.0,1.23,0.07,1.0,0.2
2025-06-20,600519,1344.0,1349.08,1361.56,1340.62,34816,4990683314.0,1.56,0.2,2.66,0.28
2025-06-23,600519,1340.42,1340.42,1353.42,1325.6,26723,3794012343.0,2.06,-0.64,-8.66,0.21
2025-06-24,600519,1343.77,1357.62,1372.1,1343.77,36312,5229183514.0,2.11,1.28,17.2,0.29
2025-06-25,600519,1359.53,1356.28,1369.62,1340.93,41050,5869292227.0,2.11,-0.1,-1.34,0.33
2025-06-26,600519,1363.02,1368.02,1376.02,1358.1,34860,4955829982.0,1.32,0.87,11.74,0.28
2025-06-27,600519,1368.03,1351.11,1371.02,1351.11,38250,5404312675.0,1.46,-1.24,-16.91,0.3
2025-06-30,600519,1351.52,1357.54,1361.25,1350.02,30457,4287373691.0,0.83,0.48,6.43,0.24
2025-07-01,600519,1357.02,1353.12,1359.96,1351.33,19878,2794423203.0,0.64,-0.33,-4.42,0.16
2025-07-02,600519,1357.52,1357.62,1362.82,1348.02,26218,3689246316.0,1.09,0.33,4.5,0.21
2025-07-03,600519,1360.02,1363.62,1370.71,1356.02,24413,3456733002.0,1.08,0.44,6.0,0.19
2025-07-04,600519,1363.72,1370.24,1379.91,1358.03,28767,4086547268.0,1.6,0.49,6.62,0.23
2025-07-07,600519,1370.3,1358.72,1371.52,1358.03,23855,3370562659.0,0.98,-0.84,-11.52,0.19
2025-07-08,600519,1358.73,1364.13,1368.02,1358.72,18674,2643302691.0,0.68,0.4,5.41,0.15
2025-07-09,600519,1363.02,1366.9,1377.99,1362.19,27745,3950810723.0,1.16,0.2,2.77,0.22
2025-07-10,600519,1366.99,1374.52,1384.2,1358.42,38725,5503329754.0,1.89,0.56,7.62,0.31
2025-07-11,600519,1371.18,1375.02,1406.02,1371.18,57243,8239010390.0,2.53,0.04,0.5,0.46
2025-07-14,600519,1378.02,1371.62,1383.0,1369.62,27781,3961736006.0,0.97,-0.25,-3.4,0.22
2025-07-15,600519,1369.0,1359.02,1370.95,1356.34,35406,5005150165.0,1.07,-0.92,-12.6,0.28
2025-07-16,600519,1358.03,1359.05,1365.51,1357.97,21286,3006882579.0,0.55,0.0,0.03,0.17
2025-07-17,600519,1362.0,1364.37,1371.03,1360.9,23106,3273100406.0,0.75,0.39,5.32,0.18
2025-07-18,600519,1368.02,1385.02,1385.83,1364.4,41823,5984949774.0,1.57,1.51,20.65,0.33
2025-07-21,600519,1385.01,1391.02,1394.82,1383.02,26203,3779891829.0,0.85,0.43,6.0,0.21
2025-07-22,600519,1392.02,1413.0,1414.62,1388.7,42119,6127636851.0,1.86,1.58,21.98,0.34
2025-07-23,600519,1417.02,1423.52,1443.02,1416.97,45045,6676301462.0,1.84,0.74,10.52,0.36
2025-07-24,600519,1424.02,1439.52,1447.02,1423.02,38804,5786337377.0,1.69,1.12,16.0,0.31
2025-07-25,600519,1439.42,1403.02,1439.42,1401.02,41911,6140078741.0,2.67,-2.54,-36.5,0.33
2025-07-28,600519,1401.02,1386.68,1403.01,1384.32,38586,5560966386.0,1.33,-1.16,-16.34,0.31
2025-07-29,600519,1387.62,1387.02,1396.81,1383.03,26304,3785848102.0,0.99,0.02,0.34,0.21
2025-07-30,600519,1392.02,1397.46,1405.18,1385.02,31868,4612883040.0,1.45,0.75,10.44,0.25
2025-07-31,600519,1391.02,1369.69,1392.89,1366.02,51798,7386302758.0,1.92,-1.99,-27.77,0.41
2025-08-01,600519,1369.89,1365.02,1373.98,1362.02,29636,4200850790.0,0.87,-0.34,-4.67,0.24
2025-08-04,600519,1363.02,1367.02,1367.82,1362.02,18688,2647105740.0,0.42,0.15,2.0,0.15
